  ,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q20 l20 aligned Count,RMHM viral q20 l30 aligned Count,RMHM viral q20 l40 aligned Count,RMHM viral q20 l50 aligned Count,RMHM viral q25 l20 aligned Count,RMHM viral q25 l30 aligned Count,RMHM viral q25 l40 aligned Count,RMHM viral q25 l50 aligned Count,RMHM viral q30 l20 aligned Count,RMHM viral q30 l30 aligned Count,RMHM viral q30 l40 aligned Count,RMHM viral q30 l50 aligned Count
19-1389-02A-21R-2005-01+1,36134463,1186037,280536,,,,,,,,,,,,
19-1389-02A-21R-2005-01+2,56999390,1789876,373540,,,,,,,,,,,,
19-1390-01A-01R-1850-01+1,73585262,2040561,293141,,,,,,,,,,,,
19-1390-01A-01R-1850-01+2,49816261,1254645,179381,,,,,,,,,,,,
19-1787-01B-01R-1850-01+1,76773771,2463993,772558,,,,,,,,,,,,
19-1787-01B-01R-1850-01+2,49992726,1679209,643325,,,,,,,,,,,,
19-2619-01A-01R-1850-01+1,76667237,2002847,300233,,,,,,,,,,,,
19-2619-01A-01R-1850-01+2,50541760,1174206,170398,,,,,,,,,,,,
19-2620-01A-01R-1850-01+1,59634667,4493547,1327686,,,,,,,,,,,,
19-2620-01A-01R-1850-01+2,42683133,3973136,1217550,,,,,,,,,,,,
19-2624-01A-01R-1850-01+1,50419764,1011883,72491,,,,,,,,,,,,
19-2624-01A-01R-1850-01+2,75124415,1810409,176160,,,,,,,,,,,,
19-2625-01A-01R-1850-01+1,74307811,2231136,374571,,,,,,,,,,,,
19-2625-01A-01R-1850-01+2,44957929,1423083,242146,,,,,,,,,,,,
19-2629-01A-01R-1850-01+1,73550206,2284963,586495,,,,,,,,,,,,
19-2629-01A-01R-1850-01+2,47718697,1522050,455967,,,,,,,,,,,,
19-4065-01A-01R-2005-01+1,41775256,983662,56699,,,,,,,,,,,,
19-4065-01A-01R-2005-01+2,70869959,1995342,185634,,,,,,,,,,,,
19-4065-02A-11R-2005-01+1,56655087,1959624,212807,,,,,,,,,,,,
19-4065-02A-11R-2005-01+2,34145301,1137141,102707,,,,,,,,,,,,
19-5960-01A-11R-1850-01+1,66597911,1851592,163083,,,,,,,,,,,,
19-5960-01A-11R-1850-01+2,42852123,926049,51148,,,,,,,,,,,,
19-A60I-01A-12R-A344-08+1,64103992,1305280,36125,,,,,,,,,,,,
19-A6J4-01A-11R-A344-08+1,61483385,1002528,32743,,,,,,,,,,,,
19-A6J5-01A-21R-A344-08+1,54476174,1013348,32467,,,,,,,,,,,,
26-1442-01A-01R-1850-01+1,42409044,1097470,64816,,,,,,,,,,,,
26-1442-01A-01R-1850-01+2,73809304,2155656,193639,,,,,,,,,,,,
26-5132-01A-01R-1850-01+1,43629656,1539452,488183,,,,,,,,,,,,
26-5132-01A-01R-1850-01+2,65695060,2250633,621892,,,,,,,,,,,,
26-5133-01A-01R-1850-01+1,40057802,1049008,221232,,,,,,,,,,,,
26-5133-01A-01R-1850-01+2,61993786,1692809,322158,,,,,,,,,,,,
26-5134-01A-01R-1850-01+1,66150981,1776758,340986,,,,,,,,,,,,
26-5134-01A-01R-1850-01+2,22811329,863510,193887,,,,,,,,,,,,
26-5135-01A-01R-1850-01+1,62071962,3224172,928168,,,,,,,,,,,,
26-5135-01A-01R-1850-01+2,41402729,2513039,764185,,,,,,,,,,,,
26-5136-01B-01R-1850-01+1,31064868,2198898,463079,,,,,,,,,,,,
26-5136-01B-01R-1850-01+2,44776300,2892618,626396,,,,,,,,,,,,
26-5139-01A-01R-1850-01+1,35877489,915935,75676,,,,,,,,,,,,
26-5139-01A-01R-1850-01+2,57439549,1743404,181972,,,,,,,,,,,,
26-A7UX-01B-11R-A39C-08+1,45624764,888594,23718,,,,,,,,,,,,
27-1830-01A-01R-1850-01+1,61986907,1912679,371965,,,,,,,,,,,,
27-1830-01A-01R-1850-01+2,41996483,1279577,275890,,,,,,,,,,,,
