project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	spectrophotometer_method	state	well_number
TARGET-ALL-P2	2cd369f5-9546-5d99-b680-6b1b364adde8	TARGET-10-PAPEAB	a11cbfff-a43b-5f9b-9d34-98cdeb8bcb7a	TARGET-10-PAPEAB-10A	89596310-2bb6-58e5-add1-061654ed7448	'--	68b8f368-41ac-550e-be4c-cafa2a4e2fb7	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	2cd369f5-9546-5d99-b680-6b1b364adde8	TARGET-10-PAPEAB	28ce5e15-d085-55b0-9692-0e13b9dd5ca6	TARGET-10-PAPEAB-09A	4dc50208-241f-5914-a335-0ba06ee859b4	'--	e1a34476-d1cb-5ac8-9a57-45b11b490fbc	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	2cd369f5-9546-5d99-b680-6b1b364adde8	TARGET-10-PAPEAB	28ce5e15-d085-55b0-9692-0e13b9dd5ca6	TARGET-10-PAPEAB-09A	e91e033d-6890-5f8a-a453-1bca35f8ed37	'--	b5a92624-d6b2-537b-9049-92afdc51f936	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	2cd369f5-9546-5d99-b680-6b1b364adde8	TARGET-10-PAPEAB	8fc48fcd-c23c-5ac3-a915-3c7f5ef029e7	TARGET-10-PAPEAB-03A	d8f547fc-adde-53f0-b6cb-8b9c83b7b814	'--	e022f258-7e54-5320-bf02-6f9883c03cae	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	2cd369f5-9546-5d99-b680-6b1b364adde8	TARGET-10-PAPEAB	ce1b80e7-2d27-59bc-bd6e-5d6633713d30	TARGET-10-PAPEAB-14A	8aeae13b-8035-5913-a742-cb656687b5ac	'--	db3372f8-8e24-508a-8fd2-979d80020331	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	2cd369f5-9546-5d99-b680-6b1b364adde8	TARGET-10-PAPEAB	9fc84da0-a24e-5288-84c9-b02b90a5e1d4	TARGET-10-PAPEAB-04A	97cb4f8f-bef4-5dd1-995e-7eef31e6fc1e	'--	6a3fe3ef-ba5e-51ac-954c-d5bfac9272f5	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	2cd369f5-9546-5d99-b680-6b1b364adde8	TARGET-10-PAPEAB	9fc84da0-a24e-5288-84c9-b02b90a5e1d4	TARGET-10-PAPEAB-04A	250f95dd-a81f-5158-aa5d-95fb9e562919	'--	a2f48a5d-989d-57d0-b606-c93e23835949	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	2cd369f5-9546-5d99-b680-6b1b364adde8	TARGET-10-PAPEAB	9fc84da0-a24e-5288-84c9-b02b90a5e1d4	TARGET-10-PAPEAB-04A	cc1e8064-cc37-59dd-8678-09da1a3a0bd7	'--	ba2e78a5-f7b7-524c-a4ee-cea00d1cf73f	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	18d9179e-00f8-5dcd-b5c4-7797820e99f2	TARGET-10-PASDYK	a31a3950-19bb-569e-a69b-b73a1fec9d21	TARGET-10-PASDYK-03A	a68802dc-a80e-5188-b45c-680482aeebd7	'--	b4785924-76c7-5cb9-8cff-fd359c2ff6f2	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	18d9179e-00f8-5dcd-b5c4-7797820e99f2	TARGET-10-PASDYK	d3792c8a-174a-59eb-96e2-0b81ecafcbe8	TARGET-10-PASDYK-09A	83a9eb56-4e66-59d8-a651-187988fb507c	'--	4d0a5c29-86ec-589d-a9d1-90ab6fb53827	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
