  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
SRR1408285,42867624,40653955,94.83,79798108,98.14
SRR1408327,46614412,42100246,90.31,83393172,99.04
SRR1408368,42310764,38618342,91.27,76508092,99.05
SRR1408769,37475888,31614347,84.35,62651974,99.08
SRR1409282,53074044,50648875,95.43,99605116,98.32
SRR1409305,37977338,35458087,93.36,69848848,98.49
SRR1409351,43556695,38453416,88.28,75951824,98.75
SRR1409534,30900440,28900595,93.52,57105545,98.79
SRR1409899,35464068,32367326,91.26,63814737,98.57
SRR1410264,45776329,41602333,90.88,82361660,98.98
SRR1410448,54969589,52517328,95.53,103880121,98.90
SRR1410656,39609101,36356567,91.78,71500727,98.33
SRR1410783,50143147,47828177,95.38,94647095,98.94
SRR1410912,37699156,29603152,78.52,58202419,98.30
SRR1410934,57814940,54558094,94.36,106913431,97.98
SRR1410956,34468203,31887623,92.51,62946719,98.70
SRR1411024,39000274,35459395,90.92,70142565,98.90
SRR1413414,46914948,37192962,79.27,73115153,98.29
SRR1413454,104437357,90754846,86.89,179306363,98.78
SRR1413522,37777703,33650543,89.07,66465578,98.75
SRR1413562,42106121,38817140,92.18,76871271,99.01
SRR1413625,37256782,33508505,89.93,66333867,98.98
SRR1413768,47190904,45083246,95.53,89241896,98.97
SRR1413959,42277763,39452858,93.31,78082402,98.95
SRR1414424,34934911,30906815,88.46,61089544,98.82
SRR1414595,53392702,50100575,93.83,98970701,98.77
SRR1414684,41677545,36896107,88.52,72693291,98.51
SRR1414833,47049324,42471351,90.26,83945095,98.82
SRR1414897,40804967,37928311,92.95,74966242,98.82
SRR1415095,56001224,51936182,92.74,102699346,98.87
SRR1415215,47581290,44933907,94.43,88647969,98.64
SRR1415234,36714699,32131874,87.51,63478217,98.77
SRR1415337,54716609,52232795,95.46,103457251,99.03
SRR1415732,43048256,39556762,91.88,78213213,98.86
SRR1415832,36580437,33053376,90.35,65285422,98.75
SRR1415895,33594781,31435741,93.57,62131515,98.82
SRR1416096,41914251,37440353,89.32,74058582,98.90
SRR1416410,43605238,39310112,90.14,77832825,98.99
