Sample	Family	Gender	Population	Population Description	Super Population	Super Population Description
HG03279	NG68	female	ESN	Esan in Nigeria	AFR	African
HG03280	NG68	male	ESN	Esan in Nigeria	AFR	African
HG03291	NG72	female	ESN	Esan in Nigeria	AFR	African
HG03293	NG72	male	ESN	Esan in Nigeria	AFR	African
HG03294	NG73	female	ESN	Esan in Nigeria	AFR	African
HG03295	NG73	male	ESN	Esan in Nigeria	AFR	African
HG03296	NG73	male	ESN	Esan in Nigeria	AFR	African
HG03297	NG74	female	ESN	Esan in Nigeria	AFR	African
HG03298	NG74	male	ESN	Esan in Nigeria	AFR	African
HG03299	NG74	male	ESN	Esan in Nigeria	AFR	African
HG03300	NG75	female	ESN	Esan in Nigeria	AFR	African
HG03301	NG75	male	ESN	Esan in Nigeria	AFR	African
HG03302	NG75	male	ESN	Esan in Nigeria	AFR	African
HG03303	NG76	female	ESN	Esan in Nigeria	AFR	African
HG03304	NG76	male	ESN	Esan in Nigeria	AFR	African
HG03305	NG76	female	ESN	Esan in Nigeria	AFR	African
HG03306	NG77	female	ESN	Esan in Nigeria	AFR	African
HG03307	NG77	male	ESN	Esan in Nigeria	AFR	African
HG03308	NG77	male	ESN	Esan in Nigeria	AFR	African
HG03309	NG78	female	ESN	Esan in Nigeria	AFR	African
HG03310	NG78	female	ESN	Esan in Nigeria	AFR	African
HG03311	NG78	male	ESN	Esan in Nigeria	AFR	African
HG03312	NG79	female	ESN	Esan in Nigeria	AFR	African
HG03313	NG79	male	ESN	Esan in Nigeria	AFR	African
HG03314	NG79	male	ESN	Esan in Nigeria	AFR	African
HG03339	NG88	female	ESN	Esan in Nigeria	AFR	African
HG03341	NG88	female	ESN	Esan in Nigeria	AFR	African
HG03342	NG89	female	ESN	Esan in Nigeria	AFR	African
HG03343	NG89	male	ESN	Esan in Nigeria	AFR	African
HG03344	NG89	male	ESN	Esan in Nigeria	AFR	African
HG03350	NG92	male	ESN	Esan in Nigeria	AFR	African
HG03351	NG92	female	ESN	Esan in Nigeria	AFR	African
HG03352	NG92	male	ESN	Esan in Nigeria	AFR	African
HG03354	NG93	female	ESN	Esan in Nigeria	AFR	African
HG03361	NG95	male	ESN	Esan in Nigeria	AFR	African
HG03362	NG95	male	ESN	Esan in Nigeria	AFR	African
HG03363	NG96	female	ESN	Esan in Nigeria	AFR	African
HG03365	NG96	male	ESN	Esan in Nigeria	AFR	African
HG03366	NG97	female	ESN	Esan in Nigeria	AFR	African
HG03367	NG97	male	ESN	Esan in Nigeria	AFR	African
HG03368	NG97	male	ESN	Esan in Nigeria	AFR	African
HG03369	NG98	female	ESN	Esan in Nigeria	AFR	African
HG03370	NG98	male	ESN	Esan in Nigeria	AFR	African
HG03371	NG98	male	ESN	Esan in Nigeria	AFR	African
HG03372	NG99	female	ESN	Esan in Nigeria	AFR	African
HG03373	NG99	male	ESN	Esan in Nigeria	AFR	African
HG03374	NG99	female	ESN	Esan in Nigeria	AFR	African
HG03376	SL24	male	MSL	Mende in Sierra Leone	AFR	African
HG03378	HG03378	female	MSL	Mende in Sierra Leone	AFR	African
HG03380	SL25	female	MSL	Mende in Sierra Leone	AFR	African
HG03381	SL30	female	MSL	Mende in Sierra Leone	AFR	African
HG03382	SL26	male	MSL	Mende in Sierra Leone	AFR	African
HG03383	HG03383	female	MSL	Mende in Sierra Leone	AFR	African
HG03384	SL26	female	MSL	Mende in Sierra Leone	AFR	African
HG03385	SL27	male	MSL	Mende in Sierra Leone	AFR	African
HG03388	SL28	male	MSL	Mende in Sierra Leone	AFR	African
HG03390	SL28	male	MSL	Mende in Sierra Leone	AFR	African
HG03391	SL29	male	MSL	Mende in Sierra Leone	AFR	African
HG03393	HG03393	female	MSL	Mende in Sierra Leone	AFR	African
HG03394	SL30	male	MSL	Mende in Sierra Leone	AFR	African
HG03397	HG03397	male	MSL	Mende in Sierra Leone	AFR	African
HG03398	HG03398	female	MSL	Mende in Sierra Leone	AFR	African
HG03399	SL26	male	MSL	Mende in Sierra Leone	AFR	African
HG03401	SL32	female	MSL	Mende in Sierra Leone	AFR	African
HG03402	SL32	female	MSL	Mende in Sierra Leone	AFR	African
HG03408	SL34	male	MSL	Mende in Sierra Leone	AFR	African
HG03410	SL35	female	MSL	Mende in Sierra Leone	AFR	African
HG03411	SL35	female	MSL	Mende in Sierra Leone	AFR	African
HG03419	SL38	female	MSL	Mende in Sierra Leone	AFR	African
HG03428	SL42	female	MSL	Mende in Sierra Leone	AFR	African
HG03431	HG03431	female	MSL	Mende in Sierra Leone	AFR	African
HG03432	HG03432	male	MSL	Mende in Sierra Leone	AFR	African
HG03433	HG03433	male	MSL	Mende in Sierra Leone	AFR	African
HG03436	HG03436	male	MSL	Mende in Sierra Leone	AFR	African
HG03437	HG03437	female	MSL	Mende in Sierra Leone	AFR	African
HG03438	SL56	female	MSL	Mende in Sierra Leone	AFR	African
HG03439	SL46	male	MSL	Mende in Sierra Leone	AFR	African
HG03442	HG03442	male	MSL	Mende in Sierra Leone	AFR	African
HG03445	HG03445	male	MSL	Mende in Sierra Leone	AFR	African
HG03446	HG03446	female	MSL	Mende in Sierra Leone	AFR	African
HG03449	SL49	female	MSL	Mende in Sierra Leone	AFR	African
HG03450	SL49	female	MSL	Mende in Sierra Leone	AFR	African
HG03451	SL50	male	MSL	Mende in Sierra Leone	AFR	African
HG03452	SL50	female	MSL	Mende in Sierra Leone	AFR	African
HG03453	SL50	female	MSL	Mende in Sierra Leone	AFR	African
HG03454	SL51	male	MSL	Mende in Sierra Leone	AFR	African
HG03455	SL51	female	MSL	Mende in Sierra Leone	AFR	African
HG03456	SL51	male	MSL	Mende in Sierra Leone	AFR	African
HG03457	HG03457	male	MSL	Mende in Sierra Leone	AFR	African
HG03458	SL52	female	MSL	Mende in Sierra Leone	AFR	African
HG03459	SL52	male	MSL	Mende in Sierra Leone	AFR	African
HG03460	HG03460	male	MSL	Mende in Sierra Leone	AFR	African
HG03461	HG03461	female	MSL	Mende in Sierra Leone	AFR	African
HG03462	HG03462	male	MSL	Mende in Sierra Leone	AFR	African
HG03464	SL54	female	MSL	Mende in Sierra Leone	AFR	African
HG03465	SL54	male	MSL	Mende in Sierra Leone	AFR	African
HG03466	SL50i	male	MSL	Mende in Sierra Leone	AFR	African
HG03468	SL50i	male	MSL	Mende in Sierra Leone	AFR	African
HG03469	SL56i	male	MSL	Mende in Sierra Leone	AFR	African
HG03470	SL56	female	MSL	Mende in Sierra Leone	AFR	African
HG03471	SL56i	male	MSL	Mende in Sierra Leone	AFR	African
HG03472	HG03472	male	MSL	Mende in Sierra Leone	AFR	African
HG03473	SL57	female	MSL	Mende in Sierra Leone	AFR	African
HG03474	SL57	male	MSL	Mende in Sierra Leone	AFR	African
HG03476	SL58	female	MSL	Mende in Sierra Leone	AFR	African
HG03477	SL58	male	MSL	Mende in Sierra Leone	AFR	African
HG03478	SL59	male	MSL	Mende in Sierra Leone	AFR	African
HG03479	SL59	female	MSL	Mende in Sierra Leone	AFR	African
HG03480	SL59	female	MSL	Mende in Sierra Leone	AFR	African
HG03484	SL61	male	MSL	Mende in Sierra Leone	AFR	African
HG03485	SL61	female	MSL	Mende in Sierra Leone	AFR	African
HG03486	SL61	female	MSL	Mende in Sierra Leone	AFR	African
HG03487	PK42	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03488	PK42	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03489	PK42	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03490	PK43	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03491	PK43	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03492	PK43	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03493	NG100	female	ESN	Esan in Nigeria	AFR	African
HG03499	NG102	female	ESN	Esan in Nigeria	AFR	African
HG03508	NG105	female	ESN	Esan in Nigeria	AFR	African
HG03510	NG105	female	ESN	Esan in Nigeria	AFR	African
HG03511	NG106	female	ESN	Esan in Nigeria	AFR	African
HG03513	NG106	male	ESN	Esan in Nigeria	AFR	African
HG03514	NG107	female	ESN	Esan in Nigeria	AFR	African
HG03515	NG107	male	ESN	Esan in Nigeria	AFR	African
HG03516	NG107	female	ESN	Esan in Nigeria	AFR	African
HG03517	NG108	female	ESN	Esan in Nigeria	AFR	African
HG03518	NG108	male	ESN	Esan in Nigeria	AFR	African
HG03519	NG108	male	ESN	Esan in Nigeria	AFR	African
HG03520	NG109	female	ESN	Esan in Nigeria	AFR	African
HG03521	NG109	male	ESN	Esan in Nigeria	AFR	African
HG03522	NG109	female	ESN	Esan in Nigeria	AFR	African
HG03538	GB125	male	GWD	Gambian in Western Division, The Gambia	AFR	African
HG03539	GB125	female	GWD	Gambian in Western Division, The Gambia	AFR	African
HG03540	GB125	female	GWD	Gambian in Western Division, The Gambia	AFR	African
HG03547	HG03547	male	MSL	Mende in Sierra Leone	AFR	African
HG03548	HG03548	female	MSL	Mende in Sierra Leone	AFR	African
HG03549	HG03549	female	MSL	Mende in Sierra Leone	AFR	African
HG03556	HG03556	male	MSL	Mende in Sierra Leone	AFR	African
HG03557	HG03557	female	MSL	Mende in Sierra Leone	AFR	African
HG03558	HG03558	female	MSL	Mende in Sierra Leone	AFR	African
HG03559	SL66	male	MSL	Mende in Sierra Leone	AFR	African
HG03563	SL67	female	MSL	Mende in Sierra Leone	AFR	African
HG03564	SL67	female	MSL	Mende in Sierra Leone	AFR	African
HG03565	HG03565	male	MSL	Mende in Sierra Leone	AFR	African
HG03566	HG03566	female	MSL	Mende in Sierra Leone	AFR	African
HG03567	HG03567	female	MSL	Mende in Sierra Leone	AFR	African
HG03569	SL69	female	MSL	Mende in Sierra Leone	AFR	African
HG03571	SL70	male	MSL	Mende in Sierra Leone	AFR	African
HG03572	SL70	female	MSL	Mende in Sierra Leone	AFR	African
HG03574	SL71	male	MSL	Mende in Sierra Leone	AFR	African
HG03575	SL71	female	MSL	Mende in Sierra Leone	AFR	African
HG03576	SL71	female	MSL	Mende in Sierra Leone	AFR	African
HG03577	SL72	male	MSL	Mende in Sierra Leone	AFR	African
HG03578	SL72	female	MSL	Mende in Sierra Leone	AFR	African
HG03579	SL72	male	MSL	Mende in Sierra Leone	AFR	African
HG03582	SL73	male	MSL	Mende in Sierra Leone	AFR	African
HG03583	SL73	female	MSL	Mende in Sierra Leone	AFR	African
HG03584	SL73	female	MSL	Mende in Sierra Leone	AFR	African
HG03585	BD4	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03587	BD4	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03589	BD05	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03590	BD05	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03593	BD6	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03594	BD7	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03595	BD7	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03596	BD7	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03598	BD8	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03599	BD8	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03600	BD09	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03602	BD09	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03603	BD10	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03604	BD10	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03605	BD11	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03606	BD11	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03607	BD11	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03611	BD12	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03615	BD14	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03616	BD14	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03617	BD14	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03618	PK44	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03619	PK44	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03620	PK44	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03621	PK45	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03624	PK46	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03625	PK46	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03626	PK46	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03629	PK47	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03631	PK48	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03633	PK49	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03634	PK49	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03635	PK49	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03636	PK50	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03638	PK50	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03639	PK51	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03640	PK51	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03641	PK51	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03642	ST006	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03643	ST004	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03644	ST004	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03645	ST002	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03646	ST001	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03649	PK52	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03650	PK52	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03651	PK52	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03652	PK53	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03653	PK53	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03654	PK53	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03656	PK54	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03657	PK54	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03660	PK55	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03663	PK56	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03667	PK58	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03668	PK58	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03669	PK58	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03672	ST008	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03673	ST010	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03679	ST006	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03680	ST009	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03681	ST011	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03682	ST012	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03683	ST012	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03684	ST012	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03685	ST013	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03686	ST014	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03687	ST015	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03688	ST016	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03689	ST017	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03690	ST018	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03691	ST019	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03692	ST020	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03693	ST021	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03694	ST022	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03695	ST023	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03696	ST024	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03697	ST025	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03698	ST026	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03699	PK59	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03700	PK59	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03701	PK59	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03702	PK60	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03703	PK60	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03704	PK60	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03705	PK61	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03706	PK61	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03707	PK61	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03708	PK62	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03709	PK62	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03710	PK62	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03711	ST027	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03713	IT001	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03714	IT009	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03715	IT001	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03716	IT009	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03717	IT010	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03718	IT010	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03719	IT002	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03720	IT052	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03721	IT003	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03722	IT002	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03723	IT012	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03725	IT002	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03727	IT003	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03729	IT013	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03730	IT011	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03731	IT013	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03732	IT003	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03733	ST041	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03736	ST043	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03738	ST044	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03740	ST038	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03741	ST038	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03742	IT015	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03743	ST046	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03744	ST047	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03745	ST049	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03746	ST050	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03750	ST051	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03752	ST053	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03753	ST054	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03754	ST051	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03755	ST052	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03756	ST052	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03757	ST046	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03760	ST058	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03761	PK63	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03762	PK63	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03763	PK63	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03765	PK64	female	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03766	PK64	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03767	PK65	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03769	PK65	male	PJL	Punjabi in Lahore,Pakistan	SAS	South Asian
HG03770	IT016	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03771	IT016	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03772	IT004	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03773	IT004	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03774	IT020	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03775	IT020	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03777	IT022	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03778	IT21	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03779	IT019	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03780	IT039	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03781	IT018	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03782	IT029	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03783	IT029	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03784	IT023	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03785	IT024	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03786	IT023	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03787	IT027	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03788	IT028	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03789	IT028	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03790	IT025	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03792	IT026	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03793	BD15	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03794	BD15	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03795	BD15	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03796	BD16	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03797	BD16	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03798	BD16	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03799	BD17	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03800	BD17	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03801	BD17	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03802	BD18	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03803	BD18	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03804	BD18	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03805	BD19	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03806	BD19	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03807	BD19	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03808	BD20	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03809	BD20	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03811	BD21	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03812	HG03812	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03813	BD21	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03814	BD22	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03815	BD22	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03816	BD22	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03817	BD23	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03821	BD24	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03822	BD24	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03823	BD25	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03824	BD25	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03825	BD25	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03826	BD26	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03829	BD27	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03830	BD27	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03831	BD27	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03832	BD28	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03833	BD28	male	BEB	Bengali in Bangladesh	SAS	South Asian
HG03834	BD28	female	BEB	Bengali in Bangladesh	SAS	South Asian
HG03835	ST024	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03836	ST074	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03837	ST079	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03838	ST078	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03840	ST024	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03842	ST075	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03844	ST075	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03845	ST081	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03846	ST080	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03847	ST083	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03848	ST084	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03849	ST082	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03850	ST082	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03851	ST089	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03854	ST094	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03856	ST092	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03857	ST091	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03858	ST090	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03861	IT032	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03862	IT035	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03863	IT033	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03864	IT034	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03866	IT030	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03867	IT038	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03868	IT5	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03869	IT035	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03870	IT037	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03871	HG03871	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03872	IT036	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03873	IT030	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03874	IT006	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03875	IT40	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03876	IT006	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03879	IT006	male	ITU	Indian Telugu in the UK	SAS	South Asian
HG03882	IT039a	female	ITU	Indian Telugu in the UK	SAS	South Asian
HG03884	ST039	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03885	ST016	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03886	ST016	female	STU	Sri Lankan Tamil in the UK	SAS	South Asian
HG03887	ST106	male	STU	Sri Lankan Tamil in the UK	SAS	South Asian
