  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
27-2524-01A-01R-1850-01+1,38080466,32832048,86.21,63295467,96.39
27-2524-01A-01R-1850-01+2,60427668,48449255,80.17,93811301,96.81
27-2526-01A-01R-1850-01+1,36626691,33309193,90.94,65456371,98.25
27-2526-01A-01R-1850-01+2,60043646,50839968,84.67,99857444,98.20
27-2528-01A-01R-1850-01+1,41422271,39071885,94.32,77165659,98.74
27-2528-01A-01R-1850-01+2,63079479,54689588,86.69,107720072,98.48
28-1747-01C-01R-1850-01+1,59379194,51151817,86.14,100674409,98.40
28-1747-01C-01R-1850-01+2,39807606,37356377,93.84,73698055,98.64
28-1753-01A-01R-1850-01+1,43149852,19885120,46.08,36250545,91.14
28-1753-01A-01R-1850-01+2,56764050,24565540,43.27,45008833,91.60
28-2499-01A-01R-1850-01+1,66407811,51499273,77.55,100922027,97.98
28-2499-01A-01R-1850-01+2,41883691,36245526,86.53,71204801,98.22
28-2509-01A-01R-1850-01+1,41414874,36242856,87.51,71490805,98.62
28-2509-01A-01R-1850-01+2,64557310,50838445,78.74,99997553,98.34
28-2510-01A-01R-1850-01+1,57805993,47381981,81.96,93085758,98.22
28-2510-01A-01R-1850-01+2,35955126,34170242,95.03,67472455,98.72
28-2513-01A-01R-1850-01+1,42410573,33044717,77.91,64406699,97.45
28-2513-01A-01R-1850-01+2,64784212,45842153,70.76,89327139,97.42
28-2514-01A-02R-1850-01+1,71805412,55638001,77.48,108481853,97.48
28-2514-01A-02R-1850-01+2,48855105,42086061,86.14,82152290,97.60
28-5204-01A-01R-1850-01+1,37194892,34267335,92.12,67742064,98.84
28-5204-01A-01R-1850-01+2,57909270,46146267,79.68,90696551,98.27
28-5207-01A-01R-1850-01+1,37599506,33178147,88.24,65288418,98.39
28-5207-01A-01R-1850-01+2,58488821,44527306,76.12,87170423,97.88
28-5208-01A-01R-1850-01+1,41581624,36510420,87.80,71648577,98.12
28-5208-01A-01R-1850-01+2,66382922,50888218,76.65,99506740,97.76
28-5209-01A-01R-1850-01+1,66542510,53184182,79.92,104458687,98.20
28-5209-01A-01R-1850-01+2,41839465,38704386,92.50,76414378,98.71
28-5213-01A-01R-1850-01+1,43222736,19677034,45.52,30711344,78.03
28-5213-01A-01R-1850-01+2,63388296,26427531,41.69,43015125,81.38
28-5215-01A-01R-1850-01+1,72483043,59409630,81.96,116769646,98.27
28-5215-01A-01R-1850-01+2,44933519,42779404,95.20,84545739,98.81
28-5216-01A-01R-1850-01+1,49357539,40158148,81.36,78861917,98.18
28-5216-01A-01R-1850-01+2,30649887,28786942,93.92,56797686,98.65
28-5218-01A-01R-1850-01+1,33057370,31500988,95.29,62314516,98.90
28-5218-01A-01R-1850-01+2,54081597,45025340,83.25,88609789,98.39
28-5220-01A-01R-1850-01+1,36936354,33102614,89.62,64450991,97.35
28-5220-01A-01R-1850-01+2,60193686,46924551,77.95,91205505,97.18
32-1970-01A-01R-1850-01+1,49442430,39319126,79.52,76862927,97.74
32-1970-01A-01R-1850-01+2,72173008,51882426,71.88,101250585,97.57
32-1980-01A-01R-1850-01+1,37557497,35810538,95.34,70698673,98.71
32-1980-01A-01R-1850-01+2,62506144,51943274,83.10,102089533,98.27
32-1982-01A-01R-1850-01+1,61344439,22154442,36.11,32082718,72.40
32-1982-01A-01R-1850-01+2,47171424,18237121,38.66,25153705,68.96
