  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count
CS-6670-01A-11R-1896-07+1,72649224,71859879,98.91
DB-5270-01A-02R-1470-07+1,74991391,73799527,98.41
DB-5273-01A-01R-1470-07+1,65621834,64617126,98.46
DB-5274-01A-01R-1470-07+1,52677722,51933015,98.58
DB-5275-01A-01R-1470-07+1,74663553,73598427,98.57
DB-5276-01A-01R-1470-07+1,66663896,65915375,98.87
DB-5277-01A-01R-1470-07+1,66800883,65725473,98.39
DB-5278-01A-01R-1470-07+1,78240653,77343630,98.85
DB-5279-01A-03R-2347-07+1,82956742,81980096,98.82
DB-5280-01A-01R-1470-07+1,71061642,70074325,98.61
DB-5281-01A-01R-1470-07+1,83229658,82163015,98.71
DB-A4X9-01A-11R-A26U-07+1,47348956,46616812,98.45
DB-A4XA-01A-11R-A26U-07+1,48389023,47671937,98.51
DB-A4XB-01A-11R-A26U-07+1,42027574,41539070,98.83
DB-A4XC-01A-11R-A26U-07+1,39717970,39234926,98.78
DB-A4XD-01A-11R-A27Q-07+1,52706101,51624080,97.94
DB-A4XE-01A-11R-A27Q-07+1,52855182,51531263,97.49
DB-A4XF-01A-11R-A27Q-07+1,55852572,54468213,97.52
DB-A4XG-01A-11R-A27Q-07+1,66146491,64537826,97.56
DB-A4XH-01A-11R-A27Q-07+1,59548523,58269841,97.85
DB-A64L-01A-11R-A29R-07+1,55024503,54079182,98.28
DB-A64O-01A-11R-A29R-07+1,50562550,49636771,98.16
DB-A64P-01A-11R-A29R-07+1,61417866,60366716,98.28
DB-A64Q-01A-11R-A29R-07+1,57221383,56150225,98.12
DB-A64R-01A-11R-A29R-07+1,51454758,50510510,98.16
DB-A64S-01A-11R-A29R-07+1,53005544,52065833,98.22
DB-A64U-01A-11R-A29R-07+1,64496798,63301269,98.14
DB-A64V-01A-11R-A29R-07+1,62492697,61157242,97.86
DB-A64W-01A-11R-A29R-07+1,51718447,50655371,97.94
DB-A64X-01A-11R-A29R-07+1,55873741,54718585,97.93
DB-A75K-01A-11R-A32Q-07+1,64655425,62641544,96.88
DB-A75L-01A-11R-A32Q-07+1,67544566,65153297,96.45
DB-A75M-01A-11R-A32Q-07+1,63144641,61903720,98.03
DB-A75O-01A-11R-A32Q-07+1,49534876,48611404,98.13
DB-A75P-01A-11R-A32Q-07+1,63859431,62623840,98.06
DH-5140-01A-01R-1470-07+1,69822269,68597436,98.24
DH-5141-01A-01R-1470-07+1,74760992,73646223,98.50
DH-5142-01A-01R-1470-07+1,66421597,65699719,98.91
DH-5143-01A-01R-1470-07+1,70515019,69698466,98.84
DH-5144-01A-01R-1470-07+1,76218744,75323452,98.82
DH-A669-01A-12R-A31N-07+1,80129620,78904421,98.47
DH-A669-02A-11R-A31N-07+1,58731277,57802928,98.41
DH-A66B-01A-11R-A29R-07+1,58783855,57663499,98.09
DH-A66D-01A-11R-A31N-07+1,64511436,63262206,98.06
DH-A66F-01A-11R-A29R-07+1,56866233,55753791,98.04
DH-A66G-01A-21R-A31N-07+1,57337136,56017854,97.69
DH-A7UR-01A-11R-A33Z-07+1,64181159,62748507,97.76
DH-A7US-01A-11R-A33Z-07+1,63273274,61798522,97.66
DH-A7UT-01A-12R-A34F-07+1,49108147,47178321,96.07
DH-A7UU-01A-12R-A34F-07+1,62138420,60363125,97.14
DH-A7UV-01A-12R-A34F-07+1,75303496,73113695,97.09
DU-5847-01A-11R-1708-07+1,77002922,75937639,98.61
DU-5849-01A-11R-1708-07+1,84003491,82904595,98.69
DU-5851-01A-13R-1896-07+1,78098614,77148665,98.78
DU-5852-01A-11R-1708-07+1,71068474,70104980,98.64
DU-5853-01A-11R-1896-07+1,69003088,67937093,98.45
DU-5854-01A-11R-1708-07+1,67675485,66608718,98.42
DU-5855-01A-11R-1708-07+1,73110635,72018516,98.50
DU-5870-01A-11R-1708-07+1,72704672,71811726,98.77
DU-5870-02A-12R-A36H-07+1,66776651,65478861,98.05
DU-5871-01A-12R-1708-07+1,69338958,68235896,98.40
DU-5872-01A-11R-1708-07+1,82842373,81857874,98.81
DU-5872-02A-21R-A36H-07+1,53129232,52143708,98.14
DU-5874-01A-11R-1708-07+1,83498305,82209927,98.45
DU-6392-01A-11R-1708-07+1,86912840,85771689,98.68
DU-6393-01A-11R-1708-07+1,95920376,94599008,98.62
DU-6394-01A-11R-1708-07+1,86846809,85783955,98.77
DU-6395-01A-13R-1708-07+1,78483591,77468832,98.70
DU-6396-01A-11R-1708-07+1,74683878,73564053,98.50
DU-6397-01A-11R-1708-07+1,68028872,66963177,98.43
DU-6397-02A-12R-A36H-07+1,55658372,54562296,98.03
DU-6399-01A-12R-1708-07+1,74005133,73171019,98.87
DU-6400-01A-12R-1708-07+1,91754420,90518151,98.65
DU-6401-01A-11R-1708-07+1,72453216,71556974,98.76
DU-6402-01A-11R-1708-07+1,76839467,75954184,98.84
